a	b	RFit
0.650000	0.550000	3.585143
0.650000	0.600000	3.548607
0.650000	0.650000	3.454274
0.650000	0.700000	3.169231
0.650000	0.750000	3.136974
0.650000	0.800000	2.059135
0.650000	0.850000	1.636722
0.650000	0.900000	0.922947
0.650000	0.950000	0.807415
0.650000	1.000000	0.746664
0.700000	0.000000	4.556958
0.700000	0.050000	4.311642
0.700000	0.100000	4.281188
0.700000	0.150000	4.369712
0.700000	0.200000	4.271575
0.700000	0.250000	4.097474
0.700000	0.300000	3.956879
0.700000	0.350000	4.130340
0.700000	0.400000	3.847570
0.700000	0.450000	3.988281
0.700000	0.500000	3.837344
0.700000	0.550000	3.680237
0.700000	0.600000	3.575083
0.700000	0.650000	3.333387
0.700000	0.700000	3.240795
0.700000	0.750000	2.866462
0.700000	0.800000	1.885901
0.700000	0.850000	1.012694
0.700000	0.900000	0.900076
0.700000	0.950000	0.835307
0.700000	1.000000	0.750150
0.750000	0.000000	4.232012
0.750000	0.050000	3.983479
0.750000	0.100000	4.236466
0.750000	0.150000	4.140342
0.750000	0.200000	4.083762
0.750000	0.250000	4.214745
0.750000	0.300000	4.300195
0.750000	0.350000	4.333236
0.750000	0.400000	4.013217
0.750000	0.450000	4.013436
0.750000	0.500000	3.837450
0.750000	0.550000	3.895264
0.750000	0.600000	3.710275
0.750000	0.650000	3.549948
0.750000	0.700000	3.769253
0.750000	0.750000	2.399188
0.750000	0.800000	1.957551
0.750000	0.850000	0.996741
0.750000	0.900000	0.895630
0.750000	0.950000	0.818102
0.750000	1.000000	0.756384
0.800000	0.000000	4.195846
0.800000	0.050000	4.319170
0.800000	0.100000	4.305428
0.800000	0.150000	4.179710
0.800000	0.200000	4.133365
0.800000	0.250000	4.112598
0.800000	0.300000	4.142479
0.800000	0.350000	4.056208
0.800000	0.400000	4.078107
0.800000	0.450000	3.860975
0.800000	0.500000	3.893234
0.800000	0.550000	4.160246
0.800000	0.600000	4.121287
0.800000	0.650000	3.960631
0.800000	0.700000	3.017041
0.800000	0.750000	2.492613
0.800000	0.800000	1.087420
0.800000	0.850000	1.008963
0.800000	0.900000	0.908672
0.800000	0.950000	0.819735
0.800000	1.000000	0.753571
0.850000	0.000000	4.435007
0.850000	0.050000	4.217045
0.850000	0.100000	4.333233
0.850000	0.150000	4.169001
0.850000	0.200000	4.475322
0.850000	0.250000	4.184246
0.850000	0.300000	4.417232
0.850000	0.350000	4.286721
0.850000	0.400000	4.358190
0.850000	0.450000	4.232856
0.850000	0.500000	4.156974
0.850000	0.550000	4.617653
0.850000	0.600000	4.352065
0.850000	0.650000	3.770605
0.850000	0.700000	1.259991
0.850000	0.750000	1.183467
0.850000	0.800000	1.090431
0.850000	0.850000	0.997306
0.850000	0.900000	0.906861
0.850000	0.950000	0.816808
0.850000	1.000000	0.753071
0.900000	0.000000	4.611676
0.900000	0.050000	4.563067
0.900000	0.100000	4.704978
0.900000	0.150000	4.220778
0.900000	0.200000	4.512992
0.900000	0.250000	4.474941
0.900000	0.300000	4.581687
0.900000	0.350000	5.337773
0.900000	0.400000	4.390170
0.900000	0.450000	5.007058
0.900000	0.500000	4.390913
0.900000	0.550000	1.366085
0.900000	0.600000	1.359121
0.900000	0.650000	1.325629
0.900000	0.700000	1.281078
0.900000	0.750000	1.219717
0.900000	0.800000	1.063976
0.900000	0.850000	0.986895
0.900000	0.900000	0.906776
0.900000	0.950000	0.814058
0.900000	1.000000	0.753774
0.950000	0.000000	5.866153
0.950000	0.050000	5.783895
0.950000	0.100000	5.798250
0.950000	0.150000	1.629529
0.950000	0.200000	1.584408
0.950000	0.250000	1.571214
0.950000	0.300000	1.544154
0.950000	0.350000	1.532452
0.950000	0.400000	1.511182
0.950000	0.450000	1.440137
0.950000	0.500000	1.375511
0.950000	0.550000	1.373816
0.950000	0.600000	1.335286
0.950000	0.650000	1.337659
0.950000	0.700000	1.238705
0.950000	0.750000	1.188631
0.950000	0.800000	1.072780
0.950000	0.850000	1.004569
0.950000	0.900000	0.883318
0.950000	0.950000	0.815133
0.950000	1.000000	0.739134
1.000000	0.000000	1.552533
1.000000	0.050000	1.518084
1.000000	0.100000	1.465485
1.000000	0.150000	1.478388
1.000000	0.200000	1.539720
1.000000	0.250000	1.495894
1.000000	0.300000	1.541861
1.000000	0.350000	1.439903
1.000000	0.400000	1.444880
1.000000	0.450000	1.428328
1.000000	0.500000	1.432717
1.000000	0.550000	1.372822
1.000000	0.600000	1.337465
1.000000	0.650000	1.346275
1.000000	0.700000	1.227967
1.000000	0.750000	1.196246
1.000000	0.800000	1.051715
1.000000	0.850000	0.985825
1.000000	0.900000	0.900398
1.000000	0.950000	0.825939
1.000000	1.000000	0.746838
