a	b	DFreq
0.020000	0.680000	0.001098
0.020000	0.690000	0.001090
0.020000	0.700000	0.001082
0.020000	0.710000	0.001074
0.020000	0.720000	0.001066
0.020000	0.730000	0.001058
0.020000	0.740000	0.001051
0.020000	0.750000	0.001043
0.020000	0.760000	0.001036
0.020000	0.770000	0.001028
0.020000	0.780000	0.001021
0.020000	0.790000	0.001014
0.020000	0.800000	0.001007
0.020000	0.810000	0.001000
0.020000	0.820000	0.000993
0.020000	0.830000	0.000986
0.020000	0.840000	0.000980
0.020000	0.850000	0.000973
0.020000	0.860000	0.000966
0.020000	0.870000	0.000960
0.020000	0.880000	0.000953
0.020000	0.890000	0.000947
0.020000	0.900000	0.000941
0.020000	0.910000	0.000934
0.020000	0.920000	0.000928
0.020000	0.930000	0.000922
0.020000	0.940000	0.000916
0.020000	0.950000	0.000910
0.020000	0.960000	0.000904
0.020000	0.970000	0.000898
0.020000	0.980000	0.000892
0.020000	0.990000	0.000886
0.020000	1.000000	0.000881
0.030000	0.000000	0.003390
0.030000	0.010000	0.003161
0.030000	0.020000	0.002974
0.030000	0.030000	0.002821
0.030000	0.040000	0.002692
0.030000	0.050000	0.002583
0.030000	0.060000	0.002488
0.030000	0.070000	0.002405
0.030000	0.080000	0.002330
0.030000	0.090000	0.002263
0.030000	0.100000	0.002203
0.030000	0.110000	0.002148
0.030000	0.120000	0.002097
0.030000	0.130000	0.002050
0.030000	0.140000	0.002006
0.030000	0.150000	0.001965
0.030000	0.160000	0.001927
0.030000	0.170000	0.001891
0.030000	0.180000	0.001857
0.030000	0.190000	0.001825
0.030000	0.200000	0.001794
0.030000	0.210000	0.001765
0.030000	0.220000	0.001738
0.030000	0.230000	0.001711
0.030000	0.240000	0.001686
0.030000	0.250000	0.001662
0.030000	0.260000	0.001638
0.030000	0.270000	0.001616
0.030000	0.280000	0.001594
0.030000	0.290000	0.001574
0.030000	0.300000	0.001554
0.030000	0.310000	0.001534
0.030000	0.320000	0.001515
0.030000	0.330000	0.001497
0.030000	0.340000	0.001479
0.030000	0.350000	0.001462
0.030000	0.360000	0.001446
0.030000	0.370000	0.001430
0.030000	0.380000	0.001414
0.030000	0.390000	0.001398
0.030000	0.400000	0.001383
0.030000	0.410000	0.001369
0.030000	0.420000	0.001355
0.030000	0.430000	0.001341
0.030000	0.440000	0.001327
