Time	Coop	Chea
14.457229	5.334928	4.036104
14.507254	5.367067	4.060418
14.557279	5.396482	4.082670
14.607304	5.423376	4.103016
14.657329	5.447942	4.121600
14.707354	5.470361	4.138560
14.757379	5.490805	4.154026
14.807404	5.509435	4.168120
14.857429	5.526401	4.180955
14.907454	5.541842	4.192636
14.957479	5.555887	4.203261
15.007504	5.568656	4.212921
15.057529	5.580261	4.221700
15.107554	5.590802	4.229674
15.157579	5.600374	4.236916
15.207604	5.609064	4.243489
15.257629	5.616949	4.249454
15.307654	5.624102	4.254866
15.357679	5.630590	4.259775
15.407704	5.636474	4.264225
15.457729	5.641808	4.268260
15.507754	5.646643	4.271918
15.557779	5.651024	4.275233
15.607804	5.654995	4.278236
15.657829	5.658592	4.280958
15.707854	5.661850	4.283423
15.757879	5.664802	4.285656
15.807904	5.667475	4.287678
15.857929	5.669896	4.289509
15.907954	5.672088	4.291168
15.957979	5.674073	4.292669
16.008004	0.567407	0.429267
16.058029	0.620605	0.469511
16.108054	0.678130	0.513029
16.158079	0.740209	0.559992
16.208104	0.807057	0.610563
16.258129	0.878870	0.664890
16.308154	0.955824	0.723105
16.358179	1.038062	0.785319
16.408204	1.125695	0.851614
16.458229	1.218789	0.922039
16.508254	1.317361	0.996609
16.558279	1.421373	1.075295
16.608304	1.530724	1.158019
16.658329	1.645248	1.244656
16.708354	1.764708	1.335028
16.758379	1.888794	1.428899
16.808404	2.017125	1.525982
16.858429	2.149250	1.625934
16.908454	2.284650	1.728364
16.958479	2.422748	1.832836
17.008504	2.562918	1.938874
17.058529	2.704490	2.045974
17.108554	2.846771	2.153609
17.158579	2.989051	2.261244
17.208604	3.130621	2.368341
17.258629	3.270785	2.474375
17.308654	3.408876	2.578841
17.358679	3.544268	2.681265
17.408704	3.676382	2.781209
17.458729	3.804701	2.878283
17.508754	3.928774	2.972144
17.558779	4.048220	3.062504
17.608804	4.162729	3.149130
17.658829	4.272065	3.231843
17.708854	4.376061	3.310516
17.758879	4.474617	3.385073
17.808904	4.567695	3.455487
17.858929	4.655312	3.521769
17.908954	4.737535	3.583970
17.958979	4.814473	3.642174
18.009005	4.886271	3.696490
18.059030	4.953105	3.747049
18.109055	5.015170	3.794001
18.159080	5.072682	3.837509
18.209105	5.125868	3.877744
18.259130	5.174959	3.914882
18.309155	5.220195	3.949102
18.359180	5.261810	3.980584
18.409205	5.300039	4.009504
18.459230	5.335110	4.036036
18.509255	5.367245	4.060346
18.559280	5.396656	4.082595
18.609305	5.423545	4.102937
18.659330	5.448107	4.121517
18.709355	5.470522	4.138475
18.759380	5.490963	4.153938
18.809405	5.509590	4.168030
18.859430	5.526553	4.180862
18.909455	5.541991	4.192541
18.959480	5.556034	4.203164
19.009505	5.568801	4.212822
19.059530	5.580403	4.221599
19.109555	5.590942	4.229573
19.159580	5.600513	4.236813
19.209605	5.609200	4.243385
19.259630	5.617084	4.249349
19.309655	5.624236	4.254759
19.359680	5.630723	4.259667
19.409705	5.636605	4.264116
19.459730	5.641938	4.268151
19.509755	5.646772	4.271807
19.559780	5.651153	4.275121
19.609805	5.655122	4.278124
19.659830	5.658718	4.280845
19.709855	5.661976	4.283310
19.759880	5.664927	4.285542
19.809905	5.667600	4.287564
19.859930	5.670020	4.289395
19.909955	5.672212	4.291053
19.959980	5.674197	4.292554
20.010005	0.567420	0.429255
20.060030	0.620618	0.469500
20.110055	0.678145	0.513019
20.160080	0.740225	0.559983
20.210105	0.807074	0.610554
20.260130	0.878889	0.664882
20.310155	0.955844	0.723098
20.360180	1.038084	0.785312
20.410205	1.125719	0.851608
20.460230	1.218814	0.922035
20.510255	1.317388	0.996606
20.560280	1.421402	1.075292
20.610305	1.530755	1.158017
20.660330	1.645281	1.244656
20.710355	1.764742	1.335028
20.760380	1.888830	1.428900
20.810405	2.017163	1.525984
20.860430	2.149289	1.625937
20.910455	2.284691	1.728368
