a	b	RFitCoV
0.700000	0.150000	1.492108
0.700000	0.200000	1.485954
0.700000	0.250000	1.498230
0.700000	0.300000	1.483632
0.700000	0.350000	1.481898
0.700000	0.400000	1.472599
0.700000	0.450000	1.430966
0.700000	0.500000	1.419034
0.700000	0.550000	1.404674
0.700000	0.600000	1.361227
0.700000	0.650000	1.279425
0.700000	0.700000	1.161153
0.700000	0.750000	1.156600
0.700000	0.800000	1.160340
0.700000	0.850000	1.568099
0.700000	0.900000	1.549657
0.700000	0.950000	1.540564
0.700000	1.000000	1.503331
0.750000	0.000000	1.493658
0.750000	0.050000	1.488852
0.750000	0.100000	1.488993
0.750000	0.150000	1.486845
0.750000	0.200000	1.486946
0.750000	0.250000	1.472988
0.750000	0.300000	1.446897
0.750000	0.350000	1.435145
0.750000	0.400000	1.412072
0.750000	0.450000	1.440143
0.750000	0.500000	1.382905
0.750000	0.550000	1.348527
0.750000	0.600000	1.299438
0.750000	0.650000	1.160089
0.750000	0.700000	1.054807
0.750000	0.750000	1.089630
0.750000	0.800000	1.330119
0.750000	0.850000	1.566514
0.750000	0.900000	1.552788
0.750000	0.950000	1.545760
0.750000	1.000000	1.492689
0.800000	0.000000	1.491477
0.800000	0.050000	1.493995
0.800000	0.100000	1.465067
0.800000	0.150000	1.455002
0.800000	0.200000	1.442214
0.800000	0.250000	1.412251
0.800000	0.300000	1.409413
0.800000	0.350000	1.399391
0.800000	0.400000	1.344934
0.800000	0.450000	1.318850
0.800000	0.500000	1.292634
0.800000	0.550000	1.249391
0.800000	0.600000	1.204278
0.800000	0.650000	1.133239
0.800000	0.700000	1.029636
0.800000	0.750000	1.306936
0.800000	0.800000	1.658182
0.800000	0.850000	1.550709
0.800000	0.900000	1.544713
0.800000	0.950000	1.541825
0.800000	1.000000	1.499235
0.850000	0.000000	1.436698
0.850000	0.050000	1.424058
0.850000	0.100000	1.426804
0.850000	0.150000	1.408569
0.850000	0.200000	1.374920
0.850000	0.250000	1.359504
0.850000	0.300000	1.311097
0.850000	0.350000	1.293614
0.850000	0.400000	1.255916
0.850000	0.450000	1.223092
0.850000	0.500000	1.090274
0.850000	0.550000	1.133347
0.850000	0.600000	0.864972
0.850000	0.650000	0.997628
0.850000	0.700000	1.971576
0.850000	0.750000	1.798256
0.850000	0.800000	1.635925
0.850000	0.850000	1.542317
0.850000	0.900000	1.532510
0.850000	0.950000	1.540719
0.850000	1.000000	1.497255
0.900000	0.000000	1.359323
0.900000	0.050000	1.309786
0.900000	0.100000	1.271563
0.900000	0.150000	1.208803
0.900000	0.200000	1.225339
0.900000	0.250000	1.115399
0.900000	0.300000	1.108015
0.900000	0.350000	1.115678
0.900000	0.400000	0.909756
0.900000	0.450000	0.819017
0.900000	0.500000	0.994062
0.900000	0.550000	2.241997
0.900000	0.600000	2.116708
0.900000	0.650000	1.962713
0.900000	0.700000	1.854440
0.900000	0.750000	1.740892
0.900000	0.800000	1.629534
0.900000	0.850000	1.542360
0.900000	0.900000	1.541934
0.900000	0.950000	1.545114
0.900000	1.000000	1.500463
0.950000	0.000000	0.831305
0.950000	0.050000	0.875412
0.950000	0.100000	0.965494
0.950000	0.150000	2.347096
0.950000	0.200000	2.395422
0.950000	0.250000	2.207695
0.950000	0.300000	2.301947
0.950000	0.350000	2.083904
0.950000	0.400000	2.067044
0.950000	0.450000	2.022939
0.950000	0.500000	2.055348
0.950000	0.550000	1.952518
0.950000	0.600000	1.916542
0.950000	0.650000	1.852457
0.950000	0.700000	1.800645
0.950000	0.750000	1.718333
0.950000	0.800000	1.605770
0.950000	0.850000	1.529938
0.950000	0.900000	1.540436
0.950000	0.950000	1.541800
0.950000	1.000000	1.505203
1.000000	0.000000	1.980599
1.000000	0.050000	1.967642
1.000000	0.100000	1.959979
1.000000	0.150000	1.974831
1.000000	0.200000	1.940385
1.000000	0.250000	1.959828
1.000000	0.300000	1.924547
1.000000	0.350000	1.941881
1.000000	0.400000	1.918946
1.000000	0.450000	1.892086
1.000000	0.500000	1.886827
1.000000	0.550000	1.867680
1.000000	0.600000	1.845832
1.000000	0.650000	1.800596
1.000000	0.700000	1.760946
1.000000	0.750000	1.685842
1.000000	0.800000	1.615425
1.000000	0.850000	1.531570
1.000000	0.900000	1.534953
1.000000	0.950000	1.536785
1.000000	1.000000	1.499354
