a	b	DFreq	DRel	MRel
0.020000	0.750000	0.001010	0.000259	1.005176
0.020000	0.760000	0.000734	0.000526	1.003992
0.020000	0.770000	0.000473	0.000816	1.002813
0.020000	0.780000	0.000272	0.000967	1.001824
0.020000	0.790000	0.000141	0.000944	1.001103
0.020000	0.800000	0.000067	0.000826	1.000644
0.020000	0.810000	0.000033	0.000688	1.000381
0.020000	0.820000	0.000019	0.000564	1.000240
0.020000	0.830000	0.000012	0.000463	1.000164
0.020000	0.840000	0.000009	0.000383	1.000121
0.020000	0.850000	0.000007	0.000320	1.000094
0.020000	0.860000	0.000005	0.000270	1.000076
0.020000	0.870000	0.000004	0.000230	1.000063
0.020000	0.880000	0.000004	0.000198	1.000053
0.020000	0.890000	0.000003	0.000172	1.000046
0.020000	0.900000	0.000003	0.000151	1.000039
0.020000	0.910000	0.000002	0.000133	1.000034
0.020000	0.920000	0.000002	0.000118	1.000030
0.020000	0.930000	0.000002	0.000105	1.000027
0.020000	0.940000	0.000002	0.000094	1.000024
0.020000	0.950000	0.000001	0.000085	1.000021
0.020000	0.960000	0.000001	0.000077	1.000019
0.020000	0.970000	0.000001	0.000070	1.000017
0.020000	0.980000	0.000001	0.000064	1.000015
0.020000	0.990000	0.000001	0.000059	1.000014
0.020000	1.000000	0.000001	0.000054	1.000013
0.030000	0.000000	0.000003	0.000002	1.000012
0.030000	0.010000	0.000003	0.000002	1.000013
0.030000	0.020000	0.000003	0.000002	1.000013
0.030000	0.030000	0.000003	0.000002	1.000014
0.030000	0.040000	0.000003	0.000002	1.000014
0.030000	0.050000	0.000004	0.000003	1.000015
0.030000	0.060000	0.000004	0.000003	1.000015
0.030000	0.070000	0.000004	0.000003	1.000016
0.030000	0.080000	0.000004	0.000003	1.000016
0.030000	0.090000	0.000004	0.000003	1.000017
0.030000	0.100000	0.000004	0.000003	1.000018
0.030000	0.110000	0.000004	0.000003	1.000018
0.030000	0.120000	0.000005	0.000003	1.000019
0.030000	0.130000	0.000005	0.000003	1.000020
0.030000	0.140000	0.000005	0.000004	1.000021
0.030000	0.150000	0.000005	0.000004	1.000022
0.030000	0.160000	0.000006	0.000004	1.000023
0.030000	0.170000	0.000006	0.000004	1.000024
0.030000	0.180000	0.000006	0.000004	1.000025
0.030000	0.190000	0.000006	0.000004	1.000027
0.030000	0.200000	0.000007	0.000005	1.000028
0.030000	0.210000	0.000007	0.000005	1.000029
0.030000	0.220000	0.000007	0.000005	1.000031
0.030000	0.230000	0.000008	0.000005	1.000033
0.030000	0.240000	0.000008	0.000005	1.000035
0.030000	0.250000	0.000009	0.000006	1.000037
0.030000	0.260000	0.000009	0.000006	1.000039
0.030000	0.270000	0.000010	0.000006	1.000041
0.030000	0.280000	0.000010	0.000007	1.000044
0.030000	0.290000	0.000011	0.000007	1.000047
0.030000	0.300000	0.000012	0.000007	1.000050
0.030000	0.310000	0.000013	0.000008	1.000053
0.030000	0.320000	0.000013	0.000008	1.000057
0.030000	0.330000	0.000014	0.000009	1.000061
0.030000	0.340000	0.000015	0.000009	1.000065
0.030000	0.350000	0.000017	0.000010	1.000070
0.030000	0.360000	0.000018	0.000011	1.000076
0.030000	0.370000	0.000019	0.000011	1.000082
0.030000	0.380000	0.000021	0.000012	1.000089
0.030000	0.390000	0.000023	0.000013	1.000096
0.030000	0.400000	0.000025	0.000014	1.000105
0.030000	0.410000	0.000027	0.000015	1.000114
0.030000	0.420000	0.000029	0.000016	1.000125
0.030000	0.430000	0.000032	0.000018	1.000137
0.030000	0.440000	0.000035	0.000019	1.000150
0.030000	0.450000	0.000039	0.000021	1.000166
0.030000	0.460000	0.000043	0.000023	1.000183
0.030000	0.470000	0.000048	0.000025	1.000203
0.030000	0.480000	0.000053	0.000027	1.000226
0.030000	0.490000	0.000059	0.000029	1.000253
0.030000	0.500000	0.000066	0.000032	1.000283
0.030000	0.510000	0.000074	0.000035	1.000318
0.030000	0.520000	0.000084	0.000039	1.000359
0.030000	0.530000	0.000095	0.000043	1.000407
0.030000	0.540000	0.000108	0.000048	1.000463
0.030000	0.550000	0.000123	0.000053	1.000529
0.030000	0.560000	0.000141	0.000059	1.000607
0.030000	0.570000	0.000162	0.000066	1.000700
